event_id,template_id,customer_id,channel,message,order_id,account_tier,created_at,sla_due_at,intent,sentiment,priority,expected_policy,expected_action,reviewed_by
evt_00000,complaint:06,cust_0682,chat,"every person I speak to about order 40917 tells me something different, which is really not good enough.",ord_25771,standard,2026-04-17T22:52:00+00:00,2026-04-20T22:52:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00001,general_question:13,cust_0153,chat,"Hello, what happens to my subscription if I pause the standing desk. Please advise. Thanks.",ord_76728,free,2026-04-24T06:43:00+00:00,2026-04-25T14:43:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00002,refund_request:06,cust_0420,social,"Hi, Hello, how do I get my funds returned for the annual subscription. Thanks. Appreciate it.",ord_92101,standard,2026-04-30T20:07:00+00:00,2026-05-02T13:07:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00003,refund_request:11,cust_0378,phone,"Hello, Hi there, is it possible to undo the purchase of the blue headphones. Regards.",ord_48596,free,2026-04-16T17:09:00+00:00,2026-04-17T21:09:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00004,refund_request:08,cust_0882,phone,"Hello, Hello, please cancel the kitchen scale and put the amount back on my card. Thanks. Thanks.",ord_58558,enterprise,2026-04-11T05:17:00+00:00,2026-04-13T12:17:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00005,delivery_issue:08,cust_0617,phone,"Good morning, my monthly plan was returned to sender without anyone contacting me, and I am not happy about how long it has taken.",ord_76792,free,2026-04-27T16:30:00+00:00,2026-04-28T14:30:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00006,refund_request:03,cust_0747,chat,Hey - Quick question - I no longer want the standing desk and expect the amount returned. Please let me know.,ord_97507,standard,2026-05-05T09:37:00+00:00,2026-05-08T03:37:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00007,tracking_request:06,cust_0093,chat,"Good morning, Hi there, could you tell me which stage order 88214 is at. Thanks.",ord_18678,free,2026-04-23T23:32:00+00:00,2026-04-26T14:32:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00008,delivery_issue:04,cust_0754,email,Hey - shipment containing the wireless keyboard seems stuck at the depot. Please advise.,ord_37906,standard,2026-04-15T20:22:00+00:00,2026-04-16T00:22:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00009,delivery_issue:02,cust_0050,social,"Hi, Hello, the wireless keyboard was meant to arrive on Tuesday and it is still not here. Thanks.",ord_60980,standard,2026-04-23T19:51:00+00:00,2026-04-25T22:51:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00010,delivery_issue:05,cust_0375,social,"Hello, Hello, it has been two weeks and oder 40917 has not reached me. Thanks.",ord_39485,standard,2026-04-11T21:27:00+00:00,2026-04-14T18:27:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00011,ambiguous:00,cust_0381,email,"Hi, order 40917 has not arrived and I am starting to want my money back. Please advise. Please let me know.",ord_23730,free,2026-04-21T20:22:00+00:00,2026-04-24T07:22:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
